treated;age;education;black;married;nodegree;re74;re75;re78;hispanic;u74;u75
1;33;12;0;1;0;0;0;12418.07031;0;1;1
1;20;12;0;1;0;8644.15625;8644.15625;11656.50586;0;0;0
0;39;12;1;1;0;19785.32031;6608.137207;499.2572021;0;0;0
1;49;8;0;1;1;9714.59668;7285.947754;16717.12109;0;0;0
0;26;8;0;1;1;37211.75781;36941.26563;30247.5;0;0;0
0;38;10;1;1;1;14759.06348;14701.94727;4393.522949;0;0;0
0;28;12;0;0;0;0;803.3430176;16477.01953;0;1;0
0;27;12;1;1;0;0;752.3900757;0;0;1;0
1;33;12;1;1;0;20279.94922;10941.34961;15952.59961;0;0;0
0;44;9;1;1;1;12260.78027;10857.24023;12359.30957;0;0;0
0;28;10;0;1;1;5440.818359;6346.192871;6793.077148;0;0;0
0;31;12;0;0;0;0;494.6430054;0;0;1;0
0;24;12;0;1;0;28262.13086;24294.74609;665.7374268;0;0;0
0;29;12;0;0;0;12116.61133;12205.14258;16328.96387;0;0;0
0;20;11;0;1;1;7254.419922;8159.506836;6336.782715;0;0;0
0;22;10;0;1;1;25720.91992;23031.98047;5448.800781;0;0;0
1;35;9;1;1;1;13602.42969;13830.63965;12803.96973;0;0;0
1;42;9;1;1;1;0;3058.531006;1294.409058;0;1;0
1;21;13;0;0;0;9978.750977;8616.852539;99.57001495;0;0;0
1;23;12;0;0;0;5204.259766;3903.194824;796.5596924;0;0;0
0;18;12;0;0;0;735.2050781;735.2050781;2502.525879;0;0;0
1;22;12;0;0;0;6759.994141;8455.503906;12590.70996;0;0;0
0;20;12;0;0;0;4139.753418;3104.815186;12573.96582;0;0;0
0;22;12;1;1;0;9420.671875;9352.199219;8072.181641;0;0;0
0;35;11;1;1;1;7096.71582;8720.905273;0;0;0;0
1;27;13;0;1;0;9381.566406;853.7224731;0;0;0;0
0;41;12;1;0;0;10707.16113;9818.466797;0;0;0;0
0;30;11;1;1;1;0;9311.938477;3982.801025;0;1;0
1;22;12;0;1;0;492.2304993;7055.702148;10092.83008;1;0;0
1;27;12;1;1;0;10408.51563;7806.386719;2777.585205;0;0;0
1;42;14;1;1;0;0;0;13167.51953;0;1;1
0;27;10;1;1;1;13542.26953;11280.71094;0;0;0;0
1;41;14;0;0;0;0;0;5149.500977;0;1;1
0;50;8;1;1;1;7506.733887;5630.050293;8997.193359;0;0;0
1;26;10;1;1;1;9773.953125;8141.703125;4635.660156;0;0;0
0;25;10;1;1;1;12428.12207;11696.37207;11127.28027;0;0;0
1;35;8;1;1;1;13732.07031;17976.15039;3786.62793;0;0;0
0;25;9;1;1;1;24731.61914;16946.63086;7343.963867;0;0;0
1;33;11;1;1;1;14660.70996;25142.24023;4181.941895;0;0;0
0;28;12;1;1;0;0;0;0;0;1;1
0;27;11;1;1;1;20249.22461;20035.25586;9074.763672;0;0;0
1;46;8;1;1;1;0;0;3094.156006;0;1;1
0;30;14;1;1;0;0;0;7344.678223;0;1;1
1;19;10;0;0;1;0;5324.108887;13829.62012;0;1;0
0;34;13;1;1;0;0;0;5193.24707;0;1;1
1;26;11;0;0;1;0;2226.266113;13385.86035;0;1;0
0;30;11;1;1;1;24286.50781;24105.38672;7263.024902;0;0;0
0;36;12;1;0;0;0;142.3972931;0;0;1;0
1;45;5;1;1;1;0;0;8546.714844;0;1;1
1;23;10;1;1;1;0;936.4385986;11233.25977;0;1;0
0;39;12;1;1;0;0;0;3795.799072;0;1;1
0;23;9;1;1;1;19047.07422;19289.85156;7600.104492;0;0;0
0;27;11;1;1;1;0;4491.883789;0;0;1;0
1;38;12;0;0;0;0;0;4941.849121;0;1;1
0;24;11;0;0;1;2669.725098;1468.383057;10361.69043;0;0;0
1;26;11;1;1;1;0;1392.853027;1460.359985;0;1;0
1;29;14;1;0;0;0;679.6734009;17814.98047;0;1;0
1;27;11;1;1;1;2336.114014;2142.216553;2186.189209;0;0;0
0;55;3;1;0;1;0;0;5843.795898;0;1;1
0;20;11;0;0;1;1413.106689;1177.11792;8743.070313;0;0;0
0;54;11;1;0;1;0;0;7812.521973;0;1;1
0;36;12;0;0;0;13661.17773;11491.95215;4978.500488;1;0;0
0;23;10;1;1;1;0;0;0;0;1;1
0;28;11;0;0;1;2787.76123;3200.911865;7645.054688;0;0;0
0;32;12;0;1;0;0;0;6735.319824;1;1;1
0;32;12;1;0;0;13283.17188;12419.18457;10673.69727;0;0;0
0;18;9;0;0;1;0;559.5960083;7300.498047;0;1;0
1;26;11;0;0;1;22893.87109;22959.76172;2746.614014;0;0;0
1;28;11;1;1;1;6702.451172;6952.57959;7318.186035;0;0;0
0;28;11;1;1;1;824.388916;10033.91016;0;0;0;0
1;26;12;1;0;0;8811.737305;6608.803223;5811.765137;0;0;0
0;31;13;1;0;0;10255.53613;10393.61328;7404.762207;0;0;0
0;28;9;1;1;1;10222.41016;9210.447266;1239.843994;0;0;0
1;24;12;1;0;0;11972.125;12982.34082;0;0;0;0
1;46;13;1;0;0;0;0;647.2045898;0;1;1
1;18;10;1;1;1;785.059021;1958.096313;10989.92773;0;0;0
0;26;11;1;1;1;0;4184.731934;0;0;1;0
1;26;11;1;1;1;0;2754.645996;26372.2793;0;1;0
0;22;12;1;0;0;4380.01709;2003.680054;439.6881104;0;0;0
1;41;9;1;1;1;7864.907227;7212.120117;3154.719971;0;0;0
0;22;10;0;0;1;27864.35938;10598.66992;7094.919922;0;0;0
0;19;10;0;0;1;0;0;3194.01001;0;1;1
0;25;11;1;1;1;2336.114014;3266.405762;479.2677002;0;0;0
0;29;13;1;0;0;718.2492065;2265.579102;2725.322021;0;0;0
0;21;9;0;0;1;2988.412109;1577.166992;1740.198975;0;0;0
1;24;11;1;1;1;824.3886108;1666.113037;4032.708008;0;0;0
1;29;12;1;0;0;9748.386719;4878.937012;10976.50977;0;0;0
0;29;12;1;0;0;0;1359.346558;132.7599945;0;1;0
1;19;8;0;0;1;4101.929199;3416.906982;9251.356445;0;0;0
0;25;9;1;1;1;0;0;4715.371094;0;1;1
1;31;9;1;0;1;0;1698.607056;10363.26953;0;1;0
0;28;13;1;0;0;0;0;0;0;1;1
1;21;11;1;1;1;3523.636963;4167.998047;11300.23828;0;0;0
0;21;10;1;1;1;1946.760986;1785.17981;6831.105469;0;0;0
0;27;12;0;0;0;0;0;14792.90039;0;1;1
1;27;12;1;0;0;1971.310303;4310.455078;0;0;0;0
0;26;12;0;0;0;0;0;12383.67969;0;1;1
1;31;13;0;0;0;5996.019043;5498.349609;2329.866455;0;0;0
1;24;15;1;0;0;12813.50586;13008.49707;14683.62891;0;0;0
1;23;8;0;1;1;0;1713.150024;4232.309082;0;1;0
0;28;12;1;1;0;10585.12988;5551.456055;12780.01953;0;0;0
1;31;12;0;0;0;0;2611.218018;2484.549072;0;1;0
1;26;12;1;0;0;1051.250854;1088.906982;11460.56348;0;0;0
1;25;13;1;0;0;12362.92969;3090.731934;0;0;0;0
0;26;14;1;1;0;2025.566284;2025.566284;0;0;0;0
0;33;9;0;1;1;0;0;0;1;1;1
1;24;12;0;1;0;7864.896973;7212.110352;6485.508301;1;0;0
0;21;14;1;0;0;6463.243652;5926.794434;29408.03711;0;0;0
1;26;12;1;1;0;8408.761719;5794.831055;1424.94397;0;0;0
0;24;12;1;0;0;0;159.8847046;0;0;1;0
0;24;12;1;0;0;4739.030762;8100.533203;11235.10547;0;0;0
1;25;12;0;0;0;0;0;5587.50293;0;1;1
1;42;14;1;0;0;0;0;20505.92969;0;1;1
1;18;12;1;0;0;562.6570435;562.6570435;0;0;0;0
0;25;12;1;1;0;0;0;0;0;1;1
1;21;12;1;0;0;6473.683105;3332.408936;9371.037109;0;0;0
0;20;12;1;0;0;7182.492188;6004.728027;4779.720215;0;0;0
1;20;12;1;0;0;0;0;0;0;1;1
0;20;12;1;0;0;557.6987915;1371.473022;20893.10938;0;0;0
0;19;11;0;1;1;308.2192383;308.2192383;0;1;0;0
1;23;12;1;1;0;0;0;5911.550781;0;1;1
0;26;12;1;1;0;0;0;6191.942871;0;1;1
1;31;11;1;1;1;0;0;14509.92969;0;1;1
0;27;13;0;0;0;5214.306152;474.5018005;4812.576172;0;0;0
1;41;4;1;1;1;0;0;7284.98584;0;1;1
0;27;12;0;0;0;6044.951172;5035.444336;0;0;0;0
0;26;13;0;0;0;6476.73291;5395.118652;9766.200195;0;0;0
0;39;11;1;0;1;0;83.68963623;0;0;1;0
1;30;11;1;1;1;0;0;590.7817993;0;1;1
0;28;12;1;1;0;31634.79492;29009.10742;10067.43457;0;0;0
1;21;12;0;0;0;0;0;8048.603027;0;1;1
1;23;12;0;0;0;9385.740234;1117.438965;559.4431763;1;0;0
1;27;12;1;1;0;3670.87207;334.0492859;0;0;0;0
0;24;12;0;0;0;0;0;11294.62988;0;1;1
1;25;14;1;1;0;35040.07031;11536.57031;36646.94922;0;0;0
0;21;12;0;0;0;7254.419922;5440.814941;11544.00879;0;0;0
1;21;12;0;0;0;8059.57959;7390.634277;3557.934326;0;0;0
1;21;12;0;0;0;3670.87207;334.049408;12558.01953;0;0;0
1;38;11;1;0;1;0;0;0;0;1;1
1;40;12;1;0;0;0;0;10804.32031;0;1;1
1;41;9;1;1;1;6307.503906;5783.981445;0;0;0;0
0;28;10;1;1;1;8293.344727;6449.47998;16988.17969;0;0;0
1;42;12;1;0;0;0;0;2456.153076;0;1;1
1;27;8;1;0;1;6150.48291;7218.277344;7976.931641;0;0;0
1;23;12;1;1;0;15979.0127;15079.94727;10283.48828;0;0;0
1;48;4;1;0;1;0;0;6551.591797;0;1;1
1;29;10;0;0;1;0;8853.673828;5112.01416;1;1;0
0;27;7;1;1;1;0;0;0;0;1;1
1;44;11;1;0;1;0;0;0;0;1;1
0;26;8;1;1;1;3854.585205;4084.258057;0;0;0;0
1;37;11;1;1;1;0;0;9930.045898;0;1;1
1;31;9;1;0;1;10717.03027;5517.84082;9558.500977;0;0;0
0;36;11;1;0;1;5519.669434;7311.561523;0;0;0;0
0;22;7;1;0;1;13503.76953;13503.76953;11607.08496;0;0;0
0;50;10;0;0;1;0;0;0;1;1;1
1;29;11;1;1;1;0;0;9642.999023;0;1;1
1;38;9;0;0;1;0;0;6408.950195;0;1;1
0;28;11;1;0;1;17491.44922;13371.25;0;0;0;0
0;36;11;0;0;1;5443.733887;3063.87793;1324.541992;1;0;0
0;22;11;1;1;1;0;0;1698.303955;0;1;1
1;33;11;1;0;1;0;7867.916016;6281.433105;0;1;0
1;31;4;1;0;1;8517.588867;4023.210938;7382.548828;0;0;0
1;37;9;1;0;1;0;0;1067.505981;0;1;1
0;29;11;1;1;1;0;0;10225.87988;0;1;1
0;34;12;1;0;0;4906.619141;4087.213867;5670.819336;0;0;0
0;45;9;1;0;1;0;0;4844.803223;0;1;1
0;31;11;1;0;1;19555.31641;18291.41211;0;0;0;0
0;31;11;1;0;1;8419.75;7505.213379;308.3352356;0;0;0
1;19;9;0;0;1;3083.668945;3276.150391;14271.23535;1;0;0
0;33;12;1;0;0;0;0;5970.256836;0;1;1
1;17;10;1;0;1;1291.468018;5793.852051;5522.788086;0;0;0
1;25;11;1;1;1;0;0;1574.42395;0;1;1
0;22;11;1;0;1;1167.015381;875.2615356;9139.652344;0;0;0
1;22;11;1;0;1;8176.39209;7497.751465;668.746582;0;0;0
0;19;8;0;0;1;1087.803223;1087.803223;2987.10083;1;0;0
1;22;11;1;0;1;12300.92285;12170.94336;8408.392578;0;0;0
0;25;10;1;1;1;0;0;3701.812012;0;1;1
0;25;10;1;1;1;13519.96973;9319.444336;0;0;0;0
0;43;10;1;0;1;2502.86792;4128.442871;7565.272949;0;0;0
0;34;11;1;1;1;0;0;6040.334961;0;1;1
1;46;8;1;0;1;3165.657959;2594.7229;0;0;0;0
0;21;11;1;1;1;9659.415039;7244.561035;8976.826172;0;0;0
0;22;9;1;0;1;0;506.4075928;604.1987305;0;1;0
0;34;10;1;1;1;0;0;0;0;1;1
1;29;10;1;0;1;0;4398.950195;0;0;1;0
1;28;11;1;0;1;1929.029053;6871.855957;0;0;0;0
1;28;11;1;0;1;0;1284.078979;60307.92969;0;1;0
1;28;10;1;0;1;0;2836.506104;3196.571045;0;1;0
0;45;11;1;0;1;0;0;11796.46973;0;1;1
0;27;11;1;0;1;0;0;11197.33984;0;1;1
1;27;11;1;0;1;3311.802734;2483.852051;0;0;0;0
0;26;12;1;0;0;9247.101563;8479.592773;10820.55273;0;0;0
1;27;10;1;0;1;3504.168213;3213.322266;2094.118896;0;0;0
1;29;4;1;0;1;0;0;762.9146118;0;1;1
1;25;11;1;0;1;0;0;9897.048828;0;1;1
0;18;7;1;0;1;0;0;4132.577148;0;1;1
1;23;12;1;0;0;9342.1875;7782.041992;14416.83594;0;0;0
1;23;12;1;0;0;5506.308105;501.0740967;671.3317871;0;0;0
0;34;12;1;0;0;0;0;2113.721924;0;1;1
1;24;11;1;0;1;9344.451172;9180.919922;0;0;0;0
0;24;11;1;0;1;0;1327.993042;9495.902344;0;1;0
